site_code,bay_code,sec_key,site_number,site,area,n_1,survey_dat_1,n_2,survey_dat_2,dens_surv1,dens_surv2,avg density
2019_M_09,BAKE,BAKE.19,1,Baker Island,5.765,18,8/2/2019,28,8/12/2019,3.122289679,4.856895056,3.989592368
2017_H_07,BLAQ,BLAQ.17,2,Blanquizal Point,11.72,,,,,4.0625,1.875,2.96875
2019_H_07,BLAQ,BLAQ.19,2,Blanquizal Point,11.72,NA,7/31/2019,NA,NA,NA,NA,1.066552901
2017_H_03,CHUS,CHUS.17,3,Chusini,14.57,,,,,3.466666667,3.4,3.433333334
2019_H_03,CHUS,CHUS.19,3,Chusini,14.57,96,7/31/2019,78,8/14/2019,6.588881263,5.353466026,5.971173644
2017_L_05,DUNB,DUNB.17,4,Dunbar Inlet,8.8475,,,,,0.090909091,0.090909091,0.090909091
2019_L_05,DUNB,DUNB.19,4,Dunbar Inlet,8.8475,2,8/4/2019,1,8/17/2019,0.226052557,0.113026279,0.169539418
2017_L_06,FARA,FARA.17,5,Farallon Bay,7.475,,,,,0,0,0
2019_L_06,FARA,FARA.19,5,Farallon Bay,7.475,1,8/3/2019,0,8/16/2019,0.133779264,0,0.066889632
2017_M_07,GARC,GARC.17,6,Garcia Bay,,,,,,,1.6,1.466666667
2019_M_07,GARC,GARC.19,6,Garcia Bay,,46,7/31/2019,37,8/13/2019,3.339882122,0.392927308,1.866404715
2017_L_02,GOAT,GOAT.17,7,Goats mouth inlet,4.1275,,,,,0,0,0
2019_L_02,GOAT,GOAT.19,7,Goats mouth Inlet,4.1275,2,8/4/2019,1,8/16/2019,0.484554815,0.242277408,0.363416111
2017_H_06,GUKT,GUKT.17,8,Guktu Cove,8.7775,,,,,7,7.8,7.4
2018_H_06,GUKT,GUKT.18,8,Guktu Cove,8.7775,,,,,,,10.68427371
2019_H_06,GUKT,GUKT.19,8,Guktu Cove,8.7775,64,8/1/2019,278,8/14/2019,7.29136998,31.67188835,19.48162917
2019_H_08,HECA,HECA.19,9,Heceta,5.33,16,8/2/2019,36,8/15/2019,3.001876173,6.754221388,4.87804878
2017_L_07,HETA,HETA.17,10,Hetta Cove,,,,,,0,0,0
2017_H_04,KAGK,KAGK.17,11,Kaguk Cove,6.725,,,,,6.5,5.625,6.0625
2018_H_04,KAGK,KAGK.18,11,Kaguk Cove,6.725,,,,,,,10.67457376
2019_H_04,KAGK,KAGK.19,11,Kaguk Cove,6.725,93,8/1/2019,268,8/14/2019,13.82899628,39.85130112,26.8401487
2019_M_08,KLWA,KLWA.19,12,Klawock Airport,11.0825,1,7/30/2019,4,8/12/2019,0.090232348,0.360929393,0.225580871
2017_L_04,NATZ,NATZ.17,13,Natzuhini Bay,11.1025,,,,,0,0,0
2018_L_04,NATZ,NATZ.18,13,Natzuhini Bay,11.1025,,,,,,,0
2019_L_04,NATZ,NATZ.19,13,Natzuhini Bay,11.1025,0,8/3/2019,0,8/16/2019,0,0,0
2017_H_05,NAUK,NAUK.17,14,Naukati Bay,14.9075,,,,,1.692307692,2.384615385,2.038461539
2019_H_05,NAUK,NAUK.19,14,Naukati Bay,14.9075,71,7/31/2019,28,8/14/2019,4.762703337,1.878249203,3.32047627
2017_M_02,NFEI,NFEI.17,15,North Fish Egg Island,17.32,,,,,1.041666667,0.333333333,0.6875
2019_M_02,NFEI,NFEI.19,15,North Fish Egg Island,17.32,17,7/29/2019,9,8/11/2019,0.981524249,0.519630485,0.750577367
2017_L_03,NPAS,NPAS.17,16,North Pass,6.61,,,,,0,0,0
2018_L_03,NPAS,NPAS.18,16,North Pass,6.61,,,,,,,0
2019_L_03,NPAS,NPAS.19,16,North Pass,6.61,0,8/3/2019,0,8/16/2019,0,0,0
2017_H_02,NOSK,NOSK.17,17,Nossuk Bay,6.4175,,,,,4.142857143,8.142857143,6.142857143
2018_H_02,NOSK,NOSK.18,17,Nossuk Bay,6.4175,,,,,,,3.436157751
2019_H_02,NOSK,NOSK.19,17,Nossuk Bay,6.4175,18,8/1/2019,19,8/15/2019,2.804830541,2.96065446,2.882742501
2017_M_08,REFU,REFU.17,18,Port Refugio,5.04,,,,,0.166666667,0,0.083333334
2019_M_08,REFU,REFU.19,18,Port Refugio,5.04,0,8/2/2019,1,8/12/2019,0,0.198412698,0.099206349
2017_H_01,SALA,SALA.17,19,Salt Lake Bay,8.6525,,,,,9.3,4.8,7.05
2019_H_01,SALA,SALA.19,19,Salt Lake Bay,8.6525,54,8/1/2019,48,8/15/2019,6.240970818,5.547529616,5.894250217
2017_M_05,SHIN,SHIN.17,20,Shinaku Inlet,11.905,,,,,1.615384615,5.769230769,3.692307692
2019_M_05,SHIN,SHIN.19,20,Shinaku Inlet,11.905,88,7/30/2019,66,8/12/2019,7.391852163,5.543889122,6.467870643
2017_L_01,SODA,SODA.17,21,Soda Bay,11.78,,,,,1.692307692,0.538461538,1.115384615
2019_L_01,SODA,SODA.19,21,Soda Bay,11.78,NA,8/3/2019,NA,8/16/2019,NA,NA,2.589134126
2017_M_03,SFEI,SFEI.17,22,South Fish Egg Island,24.58,,,,,1.821428571,0.285714286,1.053571429
2019_M_03,SFEI,SFEI.19,22,South Fish Egg Island,24.58,30,7/29/2019,27,8/11/2019,1.220504475,1.098454028,1.159479251
2017_M_04,SWAD,SWAD.17,23,South Wadleigh,19.095,,,,,0.476190476,0.428571429,0.452380953
2019_M_04,SWAD,SWAD.19,23,South Wadleigh,,4,7/30/2019,2,8/11/2019,0.209478921,0.104739461,0.157109191
2018_L_07,SUKK,SUKK.18,24,Sukkwan,,,,,,,,0.036029544
2017_M_06,TROC,TROC.17,25,Trocadero Bay,,,,,,0,0.083333333,0.041666667
,CHUS,CHUS.20,,Chusini Cove,8.8475,111,,83,,12.54591693,9.381181125,10.96354903
,DUNB,DUNB.20,,Dunbar Inlet,7.475,0,,1,,0,0.133779264,0.066889632
,FARA,FARA.20,,Farallon Bay,4.1275,1,,1,,0.242277408,0.242277408,0.242277408
,GOAT,GOATS.20,,Goats mouth inlet,8.7775,1,,0,,0.113927656,0,0.056963828
,GUKT,GUKT.20,,Guktu Bay,5.33,137,,137,,25.70356473,25.70356473,25.70356473
,HECA,HECA.20,,Heceta Island,6.725,21,,27,,3.12267658,4.014869888,3.568773234
,KAGK,KAGK.20,,Kaguk Cove,11.0825,125,,107,,11.27904354,9.654861268,10.4669524
,KLWA,KLWA.20,,Klawock Airport,11.1025,0,,0,,0,0,0
,NATZ,NATZ.20,,Natzuhini Bay,14.9075,0,,0,,0,0,0
,NAUK,NAUK.20,,Naukati Bay,17.32,77,,53,,4.445727483,3.060046189,3.752886836
,NFEI,NFEI.20,,North Fish Egg Island,6.61,5,,2,,0.756429652,0.302571861,0.529500756
,NPAS,NPAS.20,,North Pass,6.4175,0,,0,,0,0,0
,NOSK,NOSK.20,,Nossuk Bay,5.04,15,,14,,2.976190476,2.777777778,2.876984127
,REFU,REFU.20,,Port Refugio,8.655,0,,0,,0,0,0
,SALA,SALA.20,,Salt Lake Bay,11.905,22,,45,,1.847963041,3.779924402,2.813943721
,SHIN,SHIN.20,,Shinaku Inlet,24.58,40,,100,,1.6273393,4.068348251,2.847843775
,SFEI,SFEI.20,,South Fish Egg Island,11.72,22,,9,,1.877133106,0.767918089,1.322525597
,SWAD,SWAD.20,,South Wadleigh Island,11.78,4,,4,,0.339558574,0.339558574,0.339558574
,BLAQ,BLAQ.20,,Blanquizal Point,14.57,28,,42,,1.921757035,2.882635553,2.402196294
,GARC,GARC.20,,Garcia Bay,10.18,43,,84,,4.223968566,8.251473477,6.237721022
,SODA,SODA.20,,Soda Bay,19.095,51,,58,,2.670856245,3.037444357,2.854150301
